                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6378,                 3.8221,                 2.4087,                0.07751,                 0.2156,                0.05723,                0.01977,                 2.3891,                  3.173,                 2.3848,              0.0032738,              0.0032738,              0.0032738
                      2,                 2.1631,                 2.6022,                 1.9107,                0.15929,                0.23486,                0.11933,                0.04395,                 2.1366,                  2.655,                 1.9582,              0.0066006,              0.0066006,              0.0066006
                      3,                  2.063,                 2.3822,                 1.7355,                0.21146,                  0.323,                0.16628,                0.05807,                  2.182,                 2.7654,                 1.8665,              0.0099208,              0.0099208,              0.0099208
                      4,                 2.0483,                 2.2554,                 1.7036,                0.17617,                0.23597,                 0.1277,                0.04582,                 2.2908,                 2.8512,                 2.0495,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.0536,                 2.1901,                 1.6931,                0.29403,                0.28669,                  0.226,                0.08335,                 2.1331,                 2.3536,                 1.8936,              0.0099703,              0.0099703,              0.0099703
                      6,                   2.04,                 2.0967,                 1.6617,                0.24314,                  0.312,                0.18962,                0.06688,                 2.2247,                 2.3414,                 1.9252,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.0252,                 2.1165,                 1.6543,                 0.3041,                 0.3287,                0.23163,                0.08698,                 2.0899,                 2.3311,                  1.783,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.9953,                 2.0836,                 1.6345,                 0.3113,                0.33262,                0.24491,                 0.0913,                  2.124,                 2.1916,                 1.7702,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.9941,                 2.0619,                 1.6299,                0.31558,                0.35987,                 0.2598,                0.10286,                 2.0549,                 2.1457,                 1.7671,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.9766,                 2.0149,                 1.6372,                0.28142,                0.34087,                0.21571,                0.08056,                 2.1845,                 2.4317,                 1.8235,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.9633,                 2.0112,                 1.6284,                0.35941,                0.33203,                0.27728,                0.10218,                 2.1296,                 2.1661,                 1.7792,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.9689,                 2.0029,                 1.6338,                0.33845,                0.31403,                 0.2534,                0.09501,                 2.0577,                 2.1619,                 1.7447,               0.009901,               0.009901,               0.009901
                     13,                 1.9125,                 1.9183,                 1.5815,                0.34381,                0.35101,                0.27849,                0.10711,                  2.059,                 2.1769,                 1.7889,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.9434,                 2.0525,                 1.6157,                0.31917,                0.36804,                 0.2592,                0.10079,                 2.1197,                  2.175,                  1.779,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.9191,                 1.9147,                 1.6022,                0.31837,                 0.3442,                 0.2576,                0.10172,                 2.0948,                 2.1186,                 1.7958,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.8905,                 1.8693,                    1.6,                0.29745,                0.37924,                0.26489,                0.10164,                 2.1216,                  2.242,                 1.7838,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.8884,                 1.8431,                 1.5742,                0.33474,                0.34515,                0.27529,                 0.1063,                 2.0932,                 2.2083,                 1.7576,              0.0098515,              0.0098515,              0.0098515
